全国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行为流出地，列为流入地,安徽省,北京市,福建省,甘肃省,广东省,广西壮族自治区,贵州省,海南省,河北省,河南省,黑龙江省,湖北省,湖南省,吉林省,江苏省,江西省,辽宁省,宁夏回族自治区,青海省,山东省,山西省,陕西省,上海市,四川省,天津市,西藏自治区,新疆维吾尔自治区,云南省,浙江省,重庆市
青岛市,0.016623529,0.041817647,0.156452941,0.400235294,0.065517647,0.240052941,0.315829412,0.285488235,0.025282353,0.063882353,0.0352125,0.081923529,1.728318382,,,,,,,,,,,,,,,,,
沈阳市,0.016493333,0.047647059,0.212176471,3.103794118,0.094347059,0.5212,0.755747059,6.083141176,0.017857143,0.126870588,0.108505882,0.901594118,11.98937401,,,,,,,,,,,,,,,,,
石家庄市,0.050670588,0.115482353,0.281888235,0.4219,0.420976471,0.538988235,0.081970588,0.150952941,0.048735294,0.241382353,0.146894118,0.068664706,2.568505882,,,,,,,,,,,,,,,,,
唐山市,0.071505882,0.099329412,0.220511765,1.572023529,0.235476471,0.242711765,0.1495,0.359276471,0.125858824,0.210023529,0.141570588,0.121141176,3.548929412,,,,,,,,,,,,,,,,,
天津市,0.084464706,0.412111765,1.083170588,2.707252941,0.556247059,1.574711765,0.922611765,1.629105882,0.170264706,0.9038,0.419923529,0.426564706,10.89022941,,,,,,,,,,,,,,,,,
烟台市,0.012836364,0.023807143,0.069217647,0.158058824,0.0319125,0.09359375,0.125164706,0.097129412,0.01422,0.029835714,0.018546154,0.049858824,0.724181036,,,,,,,,,,,,,,,,,
整个区域,0.785373965,2.355822952,6.73662395,19.6026,4.868390147,12.92934301,5.531264706,13.89458824,1.058276359,5.50392479,3.77124983,3.541352941,80.57881089,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长三角,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行为流出地，列为流入地,安庆市,常州市,滁州市,杭州市,合肥市,湖州市,嘉兴市,金华市,马鞍山市,南京市,南通市,宁波市,上海市,绍兴市,苏州市,台州市,泰州市,铜陵市,温州市,无锡市,芜湖市,盐城市,扬州市,镇江市,整个区域,,,,,
阿拉善盟,0.00735,0.013725,,0.014733333,0.015183333,0.0054,0.0078,0.005866667,,0.02240625,0.017425,,0.02853125,0.01185,0.0099,0.00645,0.016185714,,0.014066667,0.0120875,,0.00995,0.011557143,0,0.230467857,,,,,
巴彦淖尔,,0.021166667,,0.038888235,0.02574,0.016,0.0189,,,0.025966667,,0.022625,0.08179375,0.04254,0.019988889,0.0167,,,0.030835294,0.0237,,0.016,0.01715,0.0132,0.431194502,,,,,
包头,0.060466667,0.0479,,0.143158824,0.088493333,,,0.034,,0.170811765,0.06408,0.046116667,0.372941176,0.040766667,0.07906875,,0.0558,,0.061646154,0.065927273,0.06215,,0.0496,0.0308,1.473727275,,,,,
赤峰,0.0369,0.040533333,,0.086652941,0.043042857,,0.02905,0.0291,0.0208,0.085123529,0.033,0.0267,0.224270588,0.046425,0.04669375,,0.0376,0.043814286,0.047261538,0.032733333,0.031,0.03936,0.035116667,,1.015177823,,,,,
鄂尔多斯,,,,0.120725,0.075271429,,,,,0.1237625,,0.0528,0.291776471,,0.0668,,,,0.08175,,,,,,0.812885399,,,,,
呼和浩特,0.114566667,0.0592,,0.336423529,0.148435294,,0.0505,0.0606,0.0712,0.317494118,0.11098125,0.055,0.637888235,0.11215,0.118623529,,0.1063,,0.1216,0.086211111,,,0.082175,,2.589348734,,,,,
呼伦贝尔,0.016975,0.02605,0.0216,0.062364706,0.027655556,,,0.017,,0.033035294,0.043388235,0.0249,0.1499,0.023266667,0.0359,0.022966667,0.02186,,0.021533333,0.027266667,0.0225,0.0191,0.016,0.0215,0.654762124,,,,,
通辽,0.026275,0.021766667,0.015,0.0498125,0.029328571,,0.0177,0.029616667,0.0144,0.048988235,0.01948,0.020375,0.102182353,0.0192,0.037428571,0.0214,0.02,,0.0271,0.026769231,,0.0198,0.0261,0.02334,0.616062795,,,,,
